pair_idx,pair_file,output,pair_confidence,pair_cscore,same_gender,same_ethnicity,genders,ethnicities
0,"['__0_af.jpg', '__1_af.jpg']",TP,0.6349803774358502,0.5274901887179253,True,True,"['f', 'f']","['a', 'a']"
1,"['__2_af.jpg', '__3_af.jpg']",TP,0.43165042827584044,0.4258252141379204,True,True,"['f', 'f']","['a', 'a']"
4,"['__8_af.jpg', '__9_af.jpg']",TP,0.022664671230889333,0.22133233561544485,True,True,"['f', 'f']","['a', 'a']"
5,"['__10_af.jpg', '__11_af.jpg']",TP,0.5008146121543482,0.46040730607717434,True,True,"['f', 'f']","['a', 'a']"
6,"['__12_af.jpg', '__13_af.jpg']",TP,0.7434113669486684,0.5817056834743344,True,True,"['f', 'f']","['a', 'a']"
7,"['__14_af.jpg', '__15_af.jpg']",TP,0.6663378400876961,0.5431689200438483,True,True,"['f', 'f']","['a', 'a']"
8,"['__16_af.jpg', '__17_af.jpg']",TP,0.5788024967986534,0.499401248399327,True,True,"['f', 'f']","['a', 'a']"
9,"['__18_af.jpg', '__19_af.jpg']",TP,0.32718037222820007,0.3735901861141002,True,True,"['f', 'f']","['a', 'a']"
10,"['__20_af.jpg', '__21_af.jpg']",TP,1.0229318243435142,0.7214659121717574,True,True,"['f', 'f']","['a', 'a']"
11,"['__22_af.jpg', '__23_af.jpg']",TP,0.6885793901796737,0.554289695089837,True,True,"['f', 'f']","['a', 'a']"
12,"['__24_af.jpg', '__25_af.jpg']",TP,0.8431046004767289,0.6315523002383645,True,True,"['f', 'f']","['a', 'a']"
13,"['__26_af.jpg', '__27_af.jpg']",TP,0.27504065537909805,0.3475203276895492,True,True,"['f', 'f']","['a', 'a']"
14,"['__28_af.jpg', '__29_af.jpg']",TP,0.4922529437702714,0.45612647188513616,True,True,"['f', 'f']","['a', 'a']"
15,"['__30_af.jpg', '__31_af.jpg']",TP,0.7245681932795779,0.5722840966397891,True,True,"['f', 'f']","['a', 'a']"
16,"['__32_af.jpg', '__33_af.jpg']",TP,0.7378081862856315,0.5789040931428159,True,True,"['f', 'f']","['a', 'a']"
17,"['__34_af.jpg', '__35_af.jpg']",TP,0.33467423515602945,0.3773371175780149,True,True,"['f', 'f']","['a', 'a']"
18,"['__36_af.jpg', '__37_af.jpg']",TP,0.9003752597202044,0.6601876298601026,True,True,"['f', 'f']","['a', 'a']"
19,"['__38_af.jpg', '__39_af.jpg']",TP,0.8889972889316005,0.6544986444658004,True,True,"['f', 'f']","['a', 'a']"
20,"['__40_af.jpg', '__41_af.jpg']",TP,1.128267622330264,0.7741338111651321,True,True,"['f', 'f']","['a', 'a']"
21,"['__42_af.jpg', '__43_af.jpg']",TP,0.6932379633066105,0.5566189816533056,True,True,"['f', 'f']","['a', 'a']"
22,"['__44_af.jpg', '__45_af.jpg']",TP,1.0625249222938271,0.7412624611469136,True,True,"['f', 'f']","['a', 'a']"
23,"['__46_af.jpg', '__47_af.jpg']",TP,0.37600701631516076,0.3980035081575807,True,True,"['f', 'f']","['a', 'a']"
24,"['__48_af.jpg', '__49_af.jpg']",TP,0.5963813955850595,0.50819069779253,True,True,"['f', 'f']","['a', 'a']"
25,"['__50_af.jpg', '__51_af.jpg']",TP,0.9291309787702375,0.6745654893851192,True,True,"['f', 'f']","['a', 'a']"
26,"['__52_af.jpg', '__53_af.jpg']",TP,0.5995191662036672,0.5097595831018338,True,True,"['f', 'f']","['a', 'a']"
27,"['__54_af.jpg', '__55_af.jpg']",TP,0.3289615392054892,0.3744807696027448,True,True,"['f', 'f']","['a', 'a']"
28,"['__56_af.jpg', '__57_af.jpg']",TP,0.6072323864159866,0.5136161932079935,True,True,"['f', 'f']","['a', 'a']"
29,"['__58_af.jpg', '__59_af.jpg']",TP,0.2917870810906791,0.35589354054533984,True,True,"['f', 'f']","['a', 'a']"
30,"['__60_af.jpg', '__61_af.jpg']",TP,0.581433855902872,0.5007169279514361,True,True,"['f', 'f']","['a', 'a']"
31,"['__62_af.jpg', '__63_af.jpg']",TP,0.10086506015018637,0.26043253007509326,True,True,"['f', 'f']","['a', 'a']"
32,"['__64_af.jpg', '__65_af.jpg']",TP,0.6520310058501109,0.5360155029250556,True,True,"['f', 'f']","['a', 'a']"
34,"['__68_af.jpg', '__69_af.jpg']",TP,0.45416934052115754,0.43708467026057896,True,True,"['f', 'f']","['a', 'a']"
35,"['__70_af.jpg', '__71_af.jpg']",TP,0.9713235573234995,0.6956617786617498,True,True,"['f', 'f']","['a', 'a']"
36,"['__72_af.jpg', '__73_af.jpg']",TP,1.2893468153806609,0.8546734076903304,True,True,"['f', 'f']","['a', 'a']"
37,"['__74_af.jpg', '__75_af.jpg']",TP,1.0019199818220932,0.7109599909110469,True,True,"['f', 'f']","['a', 'a']"
38,"['__76_af.jpg', '__77_af.jpg']",TP,0.10762764703938643,0.2638138235196936,True,True,"['f', 'f']","['a', 'a']"
39,"['__78_af.jpg', '__79_af.jpg']",TP,0.8686599676893515,0.644329983844676,True,True,"['f', 'f']","['a', 'a']"
40,"['__80_af.jpg', '__81_af.jpg']",TP,0.6446889136196019,0.5323444568098011,True,True,"['f', 'f']","['a', 'a']"
41,"['__82_af.jpg', '__83_af.jpg']",TP,0.46108282453330407,0.44054141226665233,True,True,"['f', 'f']","['a', 'a']"
42,"['__84_af.jpg', '__85_af.jpg']",TP,0.860436132393924,0.6402180661969622,True,True,"['f', 'f']","['a', 'a']"
43,"['__86_af.jpg', '__87_af.jpg']",TP,0.45137576174453153,0.43568788087226595,True,True,"['f', 'f']","['a', 'a']"
44,"['__88_af.jpg', '__89_af.jpg']",TP,1.0625547263617134,0.7412773631808571,True,True,"['f', 'f']","['a', 'a']"
45,"['__90_af.jpg', '__91_af.jpg']",TP,0.5281185188902324,0.4740592594451165,True,True,"['f', 'f']","['a', 'a']"
46,"['__92_af.jpg', '__93_af.jpg']",TP,0.0008730613248448815,0.21043653066242257,True,True,"['f', 'f']","['a', 'a']"
48,"['__96_af.jpg', '__97_af.jpg']",TP,1.03739313346491,0.7286965667324554,True,True,"['f', 'f']","['a', 'a']"
49,"['__98_af.jpg', '__99_af.jpg']",TP,0.8292255245629332,0.6246127622814668,True,True,"['f', 'f']","['a', 'a']"
50,"['__100_af.jpg', '__101_af.jpg']",TP,0.9080769604778247,0.6640384802389125,True,True,"['f', 'f']","['a', 'a']"
51,"['__102_af.jpg', '__103_af.jpg']",TP,0.0833273389706286,0.25166366948531466,True,True,"['f', 'f']","['a', 'a']"
52,"['__104_af.jpg', '__105_af.jpg']",TP,0.22274170642517688,0.3213708532125887,True,True,"['f', 'f']","['a', 'a']"
53,"['__106_af.jpg', '__107_af.jpg']",TP,0.4466644978822196,0.43333224894111,True,True,"['f', 'f']","['a', 'a']"
54,"['__108_af.jpg', '__109_af.jpg']",TP,0.8238488872379139,0.6219244436189573,True,True,"['f', 'f']","['a', 'a']"
55,"['__110_af.jpg', '__111_af.jpg']",TP,0.43166058278387043,0.4258302913919354,True,True,"['f', 'f']","['a', 'a']"
56,"['__112_af.jpg', '__113_af.jpg']",TP,0.16926578190665098,0.2946328909533257,True,True,"['f', 'f']","['a', 'a']"
58,"['__116_af.jpg', '__117_af.jpg']",TP,0.42852947292643906,0.4242647364632196,True,True,"['f', 'f']","['a', 'a']"
59,"['__118_af.jpg', '__119_af.jpg']",TP,0.10213738126997063,0.26106869063498567,True,True,"['f', 'f']","['a', 'a']"
60,"['__120_af.jpg', '__121_af.jpg']",TP,0.7749354856728455,0.5974677428364229,True,True,"['f', 'f']","['a', 'a']"
